id,name,x100m,long_jump,shot_put,x400m,rank,points,competition
1,averyanov,10.55,7.34,14.44,49.72,15,8021,OlympicG
2,barras,11.14,6.99,14.91,49.41,13,8067,OlympicG
2,barras,11.33,6.97,14.09,49.48,11,7708,Decastar
3,bernard,10.69,7.48,14.8,49.13,9,8225,OlympicG
3,bernard,11.02,7.23,14.25,48.93,4,8067,Decastar
4,bourguignon,11.36,6.8,13.46,51.16,13,7313,Decastar
5,casarsa,11.36,6.68,14.92,53.2,28,7404,OlympicG
6,clay,10.44,7.96,15.23,49.19,2,8820,OlympicG
6,clay,10.76,7.4,14.26,49.37,2,8122,Decastar
7,drews,10.87,7.38,13.07,48.51,19,7926,OlympicG
8,gomez,11.08,7.26,14.57,48.61,22,7865,OlympicG
9,hernu,10.97,7.19,14.65,48.73,7,8237,OlympicG
9,hernu,11.37,7.56,14.41,51.1,10,7733,Decastar
10,karlivans,11.33,7.26,13.3,50.54,25,7583,OlympicG
11,karpov,10.5,7.81,15.93,46.81,3,8725,OlympicG
11,karpov,11.02,7.3,14.77,48.37,3,8099,Decastar
12,korkizoglou,10.86,7.07,14.81,51.16,26,7573,OlympicG
13,lorenzo,11.1,7.03,13.22,49.34,24,7592,OlympicG
14,macey,10.89,7.47,15.73,48.97,4,8414,OlympicG
15,martineau,11.64,6.81,14.57,50.14,9,7802,Decastar
16,mcmullen,10.83,7.31,13.76,49.91,8,7995,Decastar
17,nool,10.8,7.53,14.26,48.81,8,8235,OlympicG
17,nool,11.33,7.27,12.68,49.2,12,7651,Decastar
18,ojaniemi,10.68,7.5,14.97,49.12,16,8006,OlympicG
19,parkhomenko,11.14,6.61,15.69,51.04,20,7918,OlympicG
20,pogorelov,10.95,7.31,15.1,50.79,11,8084,OlympicG
21,qi,11.06,7.34,13.55,49.65,18,7934,OlympicG
22,schoenbeck,10.9,7.3,14.77,50.3,12,8077,OlympicG
23,schwarzl,10.98,7.49,14.01,49.76,10,8102,OlympicG
24,sebrle,10.85,7.84,16.36,48.36,1,8893,OlympicG
24,sebrle,11.04,7.58,14.83,49.81,1,8217,Decastar
25,smirnov,10.89,7.07,13.88,49.11,17,7993,OlympicG
26,smith,10.85,6.81,15.24,49.27,14,8023,OlympicG
27,terek,10.92,6.94,15.15,49.56,21,7893,OlympicG
28,turi,11.08,6.91,13.62,51.67,23,7708,OlympicG
29,uldal,11.23,6.99,13.53,50.95,27,7495,OlympicG
30,warners,10.62,7.74,14.48,47.97,5,8343,OlympicG
30,warners,11.11,7.6,14.31,48.68,6,8030,Decastar
31,yurkov,11.34,7.09,15.19,50.42,5,8036,Decastar
32,zsivoczky,10.91,7.14,15.31,49.4,6,8287,OlympicG
32,zsivoczky,11.13,7.3,13.48,48.62,7,8004,Decastar
